184 12,4145580005456
185 12,3528871308878
186 12,2907100729962
187 12,228024223729
188 12,1648269801228
189 12,1011157395
190 12,0368878995778
191 11,9721408585775
192 11,9068720153344
193 11,8410787694092
194 11,7747585211995
195 11,7079086720524
196 11,6405266243773
197 11,5726097817607
198 11,5041555490805
199 11,4351613326216
200 11,3656245401924
201 11,2955425812421
202 11,2249128669779
203 11,1537328104848
204 11,0819998268439
205 11,0097113332535
206 10,9368647491497
207 10,8634574963283
208 10,7894869990673
209 10,7149506842504
210 10,6398459814909
211 10,5641703232568
212 10,4879211449965
213 10,4110958852649
214 10,3336919858512
215 10,2557068919065
216 10,1771380520727
217 10,097982918612
218 10,0182389475377
219 9,93790359874444
220 9,85697433614104
221 9,77544862778255
222 9,69332394600402
223 9,61059776755454
224 9,5272675737324
225 9,44333085052078
226 9,35878508872432
227 9,27362778410644
228 9,18785643752749
229 9,10146855508354
230 9,01446164824608
231 8,9268332340024
232 8,83858083499679
233 8,74970197967247
234 8,6601942024143
235 8,57005504369228
236 8,47928205020578
237 8,38787277502854
238 8,29582477775443
239 8,20313562464401
240 8,1098028887718
241 8,01582415017432
242 7,92119699599887
243 7,82591902065313
244 7,72998782595543
245 7,63340102128584
246 7,53615622373794
247 7,43825105827141
248 7,33968315786529
249 7,24045016367207
250 7,14054972517245
251 7,03997950033084
252 6,93873715575168
253 6,8368203668364
254 6,73422681794111
255 6,63095420253516
256 6,52700022336025
257 6,42236259259035
258 6,31703903199237
259 6,21102727308747
260 6,1043250573132
261 5,99693013618621
262 5,88884027146583
263 5,7800532353182
264 5,67056681048127
265 5,56037879043036
266 5,44948697954452
267 5,33788919327351
268 5,22558325830555
269 5,11256701273571
270 4,998838306235
271 4,88439500022014
272 4,76923496802401
273 4,65335609506682
274 4,53675627902788
275 4,41943343001808
276 4,30138547075306
277 4,18261033672698
278 4,06310597638699
279 3,94287035130837
280 3,82190143637028
281 3,70019721993219
282 3,57775570401088
283 3,45457490445823
284 3,33065285113946
285 3,20598758811213
286 3,08057717380571
287 2,9544196812018
288 2,82751319801489
289 2,69985582687385
290 2,57144568550394
291 2,44228090690942
292 2,31235963955682
293 2,18168004755874
294 2,05024031085825
295 1,91803862541388
296 1,78507320338521
297 1,65134227331896
298 1,51684408033573
299 1,38157688631721
300 1,24553897009405
301 1,10872862763418
302 0,971144172231711
303 0,832783934696388
304 0,693646263543568
305 0,553729525184683
306 0,413032104118291
307 0,271552403121571
308 0,129288843442373
309 -0,0137601350082507
310 -0,157596073463027
311 -0,302220494104944
312 -0,447634899873243
313 -0,593840774268979
314 -0,740839581160042
315 -0,888632764585798
316 -1,03722174856122
317 -1,18660793688058
318 -1,33679271292072
319 -1,48777743944388
320 -1,6395634584001
321 -1,79215209072921
322 -1,94554463616236
323 -2,09974237302327
324 -2,2547465580289
325 -2,41055842608992
326 -2,56717919011066
327 -2,72461004078877
328 -2,88285214641446
329 -3,04190665266941
330 -3,20177468242535
331 -3,36245733554225
332 -3,52395568866619
333 -3,68627079502697
334 -3,84940368423529
335 -4,01335536207972
336 -4,17812681032332
337 -4,3437189865
338 -4,51013282371055
339 -4,67736923041844
340 -4,84542909024536
341 -5,01431326176648
342 -5,18402257830543
343 -5,35455784772915
344 -5,5259198522424
345 -5,6981093481821
346 -5,87112706581149
347 -6,04497370911401
348 -6,21964995558708
349 -6,39515645603563
350 -6,57149383436551
351 -6,74866268737666
