0 10
121 3,4773575478356
122 3,41587229500989
123 3,35425656341873
124 3,2925102146147
125 3,23063311085488
126 3,16862511511048
127 3,10648609107657
128 3,04421590318161
129 2,98181441659704
130 2,91928149724683
131 2,85661701181691
132 2,79382082776461
133 2,73089281332806
134 2,66783283753555
135 2,6046407702148
136 2,54131648200223
137 2,4778598443522
138 2,41427072954617
139 2,35054901070182
140 2,28669456178217
141 2,22270725760464
142 2,15858697385
143 2,0943335870714
144 2,02994697470325
145 1,96542701507016
146 1,90077358739569
147 1,83598657181127
148 1,77106584936485
149 1,70601130202968
150 1,640822812713
151 1,57550026526461
152 1,51004354448552
153 1,44445253613651
154 1,3787271269466
155 1,31286720462155
156 1,2468726578523
157 1,18074337632334
158 1,11447925072107
159 1,04808017274212
160 0,981546035101591
161 0,914876731541311
162 0,848072156838017
163 0,781132206811482
164 0,71405677833265
165 0,646845769331671
166 0,579499078805956
167 0,512016606828149
168 0,44439825455404
169 0,376643924230535
170 0,30875351920344
171 0,240726943925353
172 0,172564103963379
173 0,104264906006924
174 0,0358292578753692
175 -0,0327429314742827
176 -0,101451751939766
177 -0,170297292265998
178 -0,239279640037523
179 -0,308398881671026
180 -0,377655102407913
181 -0,447048386306839
182 -0,516578816236388
183 -0,586246473867705
184 -0,656051439667269
185 -0,725993792889555
186 -0,79607361156992
187 -0,866290972517393
188 -0,936645951307556
189 -1,00713862227547
190 -1,07776905850864
191 -1,14853733184002
192 -1,21944351284106
193 -1,29048767081476
194 -1,36166987378887
195 -1,432990188509
196 -1,50444868043185
197 -1,5760454137185
198 -1,64778045122767
199 -1,71965385450906
200 -1,79166568379679
201 -1,86381599800275
202 -1,93610485471012
203 -2,00853231016691
204 -2,08109841927943
205 -2,15380323560599
206 -2,22664681135048
207 -2,29962919735606
208 -2,37275044309891
209 -2,44601059668203
210 -2,51940970482902
211 -2,59294781287793
212 -2,66662496477522
213 -2,74044120306968
214 -2,81439656890642
215 -2,88849110202094
216 -2,96272484073319
217 -3,0370978219417
218 -3,11161008111777
219 -3,18626165229971
220 -3,26105256808704
221 -3,33598285963489
222 -3,41105255664827
223 -3,48626168737656
224 -3,56161027860787
225 -3,63709835566363
226 -3,71272594239304
227 -3,78849306116773
228 -3,86439973287636
229 -3,9404459769193
230 -4,01663181120338
231 -4,09295725213666
232 -4,16942231462321
233 -4,24602701205806
234 -4,32277135632206
235 -4,39965535777684
236 -4,47667902525988
237 -4,55384236607952
238 -4,63114538601008
239 -4,70858808928704
240 -4,78617047860221
241 -4,86389255509903
242 -4,94175431836786
243 -5,01975576644131
244 -5,09789689578967
245 -5,17617770131637
